customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100030,Female,0,No,Yes,21,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,One year,No,Electronic check,119.15,6877.79,No
CUST100031,Male,0,No,Yes,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card,42.0,8897.35,No
CUST100032,Male,0,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card,84.72,8797.63,No
CUST100033,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No,No,Yes,No,No,Two year,Yes,Electronic check,100.82,5066.28,No
CUST100034,Female,0,No,No,38,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,Yes,Two year,No,Credit card,18.12,956.3,No
CUST100035,Male,1,No,Yes,46,No,Yes,No,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,79.46,2476.23,No
CUST100036,Male,0,No,No,27,Yes,No phone service,No,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Credit card,70.9,3441.36,No
CUST100037,Female,1,No,No,65,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Two year,No,Credit card,74.91,7872.39,No
CUST100038,Female,1,Yes,Yes,43,Yes,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer,43.87,7960.88,Yes
CUST100039,Male,0,No,Yes,62,No,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,71.15,2953.55,No
CUST100040,Female,0,No,Yes,55,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,48.21,250.47,Yes
CUST100041,Female,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer,75.34,4654.88,No
CUST100042,Male,0,No,No,20,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,118.69,6843.7,No
CUST100043,Male,1,No,Yes,32,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,41.09,6081.99,No
CUST100044,Male,0,No,Yes,50,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Bank transfer,96.2,5974.99,No
CUST100045,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,107.02,2007.39,No
CUST100046,Male,0,No,Yes,17,Yes,Yes,No,No,No,No internet service,No,Yes,No internet service,One year,Yes,Bank transfer,63.98,5739.35,No
CUST100047,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No internet service,Two year,No,Bank transfer,83.57,3510.18,No
CUST100048,Male,0,Yes,No,70,No,No,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,71.81,5902.98,No
CUST100049,Male,0,No,No,61,Yes,No phone service,No,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,52.1,1939.7,No
CUST100050,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,114.29,1500.51,No
CUST100051,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer,108.7,2876.46,Yes
CUST100052,Female,0,No,No,59,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,One year,No,Electronic check,110.62,4928.06,No
CUST100053,Female,0,No,Yes,21,Yes,No,No,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,29.78,5098.1,Yes
CUST100054,Male,0,No,Yes,29,Yes,No phone service,No,No,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,29.8,5296.38,No
CUST100055,Female,0,No,No,9,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,No,Electronic check,30.05,2597.19,No
CUST100056,Male,0,No,No,55,Yes,Yes,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,82.21,5281.85,No
CUST100057,Female,1,No,Yes,36,Yes,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,56.23,3670.32,Yes
CUST100058,Male,0,No,Yes,31,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,One year,Yes,Electronic check,57.39,7052.73,No
CUST100059,Male,0,Yes,Yes,35,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer,34.68,8313.86,No
CUST100060,Male,0,Yes,No,48,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,88.61,3957.06,Yes
CUST100061,Female,1,No,Yes,46,No,No phone service,DSL,Yes,No internet service,No,No,No internet service,No,Two year,No,Electronic check,83.21,8933.55,No
CUST100062,Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Two year,No,Credit card,100.66,1309.08,No
CUST100063,Male,0,No,No,63,Yes,No phone service,No,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Credit card,80.45,4025.09,No
CUST100064,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,32.37,795.93,No
CUST100065,Male,0,Yes,Yes,13,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,63.84,4313.0,Yes
CUST100066,Female,1,No,No,13,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,80.18,4017.85,No
CUST100067,Female,1,Yes,Yes,55,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,80.0,4417.47,Yes
CUST100068,Male,0,No,Yes,69,Yes,No,DSL,No internet service,No,No,Yes,No,No,Two year,Yes,Electronic check,53.81,5109.2,No
CUST100069,Female,0,No,No,36,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer,27.4,3605.81,No
CUST100070,Female,0,No,No,62,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer,41.46,3639.16,Yes
CUST100071,Male,1,No,No,39,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Two year,Yes,Mailed check,70.21,135.23,No
CUST100072,Female,1,Yes,No,31,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Electronic check,99.42,6457.22,No
CUST100073,Female,1,No,Yes,60,Yes,No phone service,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.23,2969.94,No
CUST100074,Female,0,Yes,Yes,68,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.55,1505.77,No
CUST100075,Male,0,No,Yes,2,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,40.45,58.22,No
CUST100076,Female,0,Yes,Yes,10,Yes,No,DSL,No internet service,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,45.22,8767.76,Yes
CUST100077,Male,0,No,Yes,69,Yes,No phone service,No,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,107.72,8227.83,No
CUST100078,Female,0,No,Yes,44,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,One year,No,Mailed check,101.97,7571.35,Yes
CUST100079,Male,0,No,No,48,Yes,Yes,No,No internet service,No,No,No,No internet service,No,One year,Yes,Bank transfer,50.64,6610.3,No
CUST100080,Female,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,80.57,8329.01,No
CUST100081,Female,0,No,No,55,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,No,Electronic check,43.62,7055.54,No
CUST100082,Female,0,Yes,No,42,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,92.83,3624.07,No
CUST100083,Female,0,Yes,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,One year,Yes,Mailed check,79.59,174.16,No
CUST100084,Female,0,Yes,No,34,Yes,No phone service,No,No,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer,75.13,5834.12,Yes
CUST100085,Female,0,Yes,Yes,14,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,No,Bank transfer,86.16,5121.91,Yes
CUST100086,Female,0,No,No,44,No,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card,119.68,6865.65,No
CUST100087,Female,0,No,Yes,60,No,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,19.22,8919.21,Yes
CUST100088,Male,1,No,Yes,61,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Credit card,49.5,5445.94,No
CUST100089,Female,1,No,No,52,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,106.99,2585.7,No
CUST100090,Female,0,Yes,No,32,Yes,Yes,DSL,No,No,No,No internet service,Yes,No,Two year,Yes,Mailed check,68.92,8787.09,No
CUST100091,Female,0,Yes,Yes,30,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,80.4,3321.69,No
CUST100092,Male,0,No,Yes,26,No,No phone service,No,No internet service,Yes,No,No,Yes,Yes,One year,No,Credit card,51.58,6059.51,No
CUST100093,Female,0,Yes,Yes,68,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,36.58,4635.69,No
CUST100094,Female,1,No,Yes,64,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No,One year,No,Mailed check,81.46,2678.76,No
CUST100095,Female,0,No,No,26,Yes,No,No,No,No,No internet service,No internet service,Yes,Yes,One year,No,Credit card,119.14,8480.01,No
CUST100096,Female,0,No,No,47,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,101.78,5107.77,No
CUST100097,Female,1,Yes,No,37,Yes,Yes,No,Yes,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,107.11,5068.82,No
CUST100098,Female,0,Yes,Yes,72,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Two year,No,Bank transfer,50.32,685.77,No
CUST100099,Female,0,No,No,27,No,No,No,Yes,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card,59.82,5079.81,No
CUST100100,Male,0,No,No,1,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,19.31,3646.47,No
CUST100101,Female,0,No,No,8,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Two year,No,Bank transfer,69.81,7709.28,No
CUST100102,Male,0,No,No,30,Yes,No,No,No internet service,Yes,No,No,Yes,No,One year,Yes,Credit card,27.34,6250.03,No
CUST100103,Male,0,No,No,25,No,No phone service,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,No,Electronic check,53.39,2907.65,No
CUST100104,Female,0,Yes,No,44,Yes,No phone service,No,Yes,No,No,No,No,No,Two year,Yes,Bank transfer,81.93,4901.7,No
CUST100105,Female,1,No,No,3,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,81.09,876.08,No
CUST100106,Female,0,No,Yes,2,Yes,No,No,No,No,Yes,No,No,No internet service,One year,No,Bank transfer,30.07,2164.16,No
CUST100107,Female,0,No,No,41,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card,34.2,7693.75,Yes
CUST100108,Male,0,Yes,Yes,10,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,90.5,969.88,Yes
CUST100109,Female,0,No,Yes,42,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,32.09,4423.88,Yes
CUST100110,Male,0,No,Yes,29,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,118.59,4354.67,Yes
CUST100111,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,73.68,1612.79,Yes
CUST100112,Female,0,Yes,Yes,24,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Electronic check,65.24,2588.7,No
CUST100113,Female,0,Yes,No,59,Yes,Yes,No,No,Yes,No,No,No,Yes,One year,No,Credit card,61.16,3416.0,Yes
CUST100114,Female,0,No,No,55,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,One year,No,Bank transfer,119.57,5949.81,Yes
CUST100115,Female,0,Yes,Yes,61,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Electronic check,34.86,1116.62,No
CUST100116,Male,0,Yes,Yes,45,No,No phone service,No,Yes,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,58.38,6191.91,No
CUST100117,Female,0,No,Yes,28,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Bank transfer,117.35,8542.75,No
CUST100118,Male,0,No,Yes,45,No,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer,99.78,6738.82,No
CUST100119,Male,1,Yes,No,13,Yes,No,No,No,No,No internet service,Yes,No,No,Two year,Yes,Credit card,52.29,3627.54,Yes
CUST100120,Male,0,Yes,No,37,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,No,Credit card,103.82,5232.25,Yes
CUST100121,Male,0,Yes,Yes,49,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,One year,No,Credit card,87.11,3778.16,No
CUST100122,Female,1,Yes,No,18,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,28.64,150.98,No
CUST100123,Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,113.59,6289.85,No
CUST100124,Female,0,No,Yes,51,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card,87.36,3649.12,Yes
CUST100125,Female,0,Yes,Yes,52,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer,41.26,5061.03,No
CUST100126,Female,0,Yes,No,39,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,One year,Yes,Credit card,57.72,644.76,No
CUST100127,Male,1,No,Yes,71,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,63.86,32.86,No
CUST100128,Male,0,No,Yes,43,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,69.51,521.75,No
CUST100129,Female,1,Yes,Yes,14,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,33.73,6112.37,No
CUST100130,Male,0,Yes,No,65,Yes,Yes,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,33.7,6382.15,No
CUST100131,Male,0,Yes,No,54,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,64.99,2379.42,Yes
CUST100132,Male,0,Yes,No,20,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,79.22,5369.76,No
CUST100133,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Two year,No,Credit card,111.53,6840.68,No
CUST100134,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,Yes,One year,No,Mailed check,79.93,8009.71,No
CUST100135,Female,1,Yes,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Bank transfer,105.41,7022.07,No
CUST100136,Female,0,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,One year,Yes,Credit card,24.59,3376.33,Yes
CUST100137,Female,0,No,No,35,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,68.37,3872.48,No
CUST100138,Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer,28.05,994.25,No
CUST100139,Female,0,Yes,Yes,15,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,34.88,5959.55,No
CUST100140,Female,0,No,No,49,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card,28.74,6595.45,No
CUST100141,Female,0,Yes,No,41,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,24.46,7949.93,No
CUST100142,Male,0,Yes,No,7,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer,30.0,8764.06,No
CUST100143,Male,0,Yes,No,47,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,Yes,Two year,No,Electronic check,53.34,4621.73,No
CUST100144,Female,0,No,No,41,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,63.81,7508.18,Yes
CUST100145,Female,0,No,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Credit card,40.62,382.78,No
CUST100146,Male,1,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,No internet service,Yes,Two year,No,Mailed check,23.2,3388.09,No
CUST100147,Male,0,Yes,No,10,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,Credit card,104.52,901.01,Yes
CUST100148,Male,1,Yes,No,66,Yes,Yes,No,No internet service,No,No,No internet service,No,No,Two year,Yes,Mailed check,119.83,6405.6,No
CUST100149,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,103.67,6916.2,No
CUST100150,Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No,One year,Yes,Bank transfer,27.59,7588.38,No
CUST100151,Female,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,62.55,2889.08,No
CUST100152,Male,1,No,No,21,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card,46.63,4956.27,Yes
CUST100153,Female,0,Yes,Yes,40,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,No internet service,One year,No,Credit card,39.39,8105.36,No
CUST100154,Female,0,No,Yes,52,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer,91.39,1061.14,No
CUST100155,Female,0,Yes,No,32,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Credit card,62.37,8567.65,No
CUST100156,Male,0,No,Yes,46,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer,51.6,7680.04,Yes
CUST100157,Female,0,Yes,No,50,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No,One year,No,Credit card,112.42,5896.8,No
CUST100158,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Two year,Yes,Bank transfer,118.93,7966.1,No
CUST100159,Male,0,Yes,Yes,66,Yes,No,Fiber optic,No,No internet service,No,No,No,No,One year,No,Electronic check,74.46,5249.97,Yes
CUST100160,Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer,97.55,1730.18,Yes
CUST100161,Female,1,No,No,0,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,No internet service,One year,No,Bank transfer,70.76,4332.95,No
CUST100162,Female,1,Yes,Yes,43,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,66.58,1424.07,No
CUST100163,Female,1,No,No,72,Yes,No,DSL,No,Yes,Yes,No,No,No internet service,One year,No,Mailed check,84.06,4908.84,Yes
CUST100164,Male,0,No,No,36,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,117.62,7723.96,Yes
CUST100165,Male,0,No,No,34,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card,111.63,1602.1,No
CUST100166,Male,0,Yes,No,70,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card,36.31,6473.72,Yes
CUST100167,Male,0,No,No,38,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,No,Electronic check,50.93,1703.11,No
CUST100168,Male,0,No,No,49,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,Yes,One year,No,Bank transfer,45.5,2570.69,No
CUST100169,Male,0,Yes,No,40,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,28.67,2947.83,No
CUST100170,Male,0,Yes,Yes,18,No,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,60.76,926.72,No
CUST100171,Male,0,Yes,No,55,Yes,No,No,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,107.96,5862.23,No
CUST100172,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,87.27,909.8,Yes
CUST100173,Male,0,Yes,Yes,56,No,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card,109.21,4923.98,Yes
CUST100174,Female,0,No,Yes,63,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,47.24,5432.37,No
CUST100175,Male,0,Yes,No,30,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,35.34,751.14,No
CUST100176,Male,0,No,Yes,1,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,42.14,3351.06,No
